"";"Estimate";"Std_Error";"t_value";"P_Value";"significancia";"agg";"Y_var";"table";"heterogenities"
"252";1,78402505254382;2,8009686934302;0,636931450440105;0,525103065584495;"";"ATT";"TOTPROF";"base_ic";"PRIV"
"253";-5,43758397287557;3,92658933544174;-1,38481096655447;0,167031838938033;"";"ATT";"TOTPROF";"base_ic";"PUBL"
"254";0,969292287945027;0,81125035353582;1,19481277723995;0,233973545982374;"";"ATT";"TOTPROF";"base_ent";"PRIV"
"255";-0,977091724114506;0,874677085253797;-1,11708851253488;0,264766678730458;"";"ATT";"TOTPROF";"base_ent";"PUBL"
"256";0,355785254363328;0,360682371812802;0,986422631566767;0,324414580146339;"";"ATT";"TOTPROF_100kPROF_COL";"base_ai";"FALSE"
"257";0,458610380273301;0,317412297092834;1,44484125055549;0,149141644509398;"";"ATT";"TOTPROF_100kPROF_COL";"base_10p";"FALSE"
"258";0,217450147136299;0,195005324862125;1,11509850969477;0,265352585971059;"";"ATT";"TOTPROF_100kPROF_COL";"base_50p";"FALSE"
"259";0,339239947939328;0,401168376757558;0,845629834238765;0,398170339413252;"";"ATT";"TOTPROF_100kPROF_COL";"base_ic";"FALSE"
"260";-0,076895260312881;0,13353627247738;-0,575838001812626;0,564990132270311;"";"ATT";"TOTPROF_100kPROF_COL";"base_ent";"FALSE"
"261";0,152870800553626;0,381911412963934;0,400278167565688;0,689502781217236;"";"ATT";"TOTPROF_100kPROF_COL";"base_ai";"PRIV"
"262";0,339383674276941;0,425175831600209;0,798219581295632;0,425313664040357;"";"ATT";"TOTPROF_100kPROF_COL";"base_ai";"PUBL"
"263";0,238258367791977;0,283130555704997;0,84151414600488;0,401348088631761;"";"ATT";"TOTPROF_100kPROF_COL";"base_10p";"PRIV"
"264";0,0130879853174494;0,35094332594135;0,0372937290724734;0,970273151987126;"";"ATT";"TOTPROF_100kPROF_COL";"base_10p";"PUBL"
"265";0,347177144618747;0,239394514107333;1,45023016050857;0,149001953029465;"";"ATT";"TOTPROF_100kPROF_COL";"base_50p";"PRIV"
"266";0,0974040473298765;0,244536843087915;0,398320539759557;0,690647660309936;"";"ATT";"TOTPROF_100kPROF_COL";"base_50p";"PUBL"
"267";0,57970321679938;0,455500156618779;1,27267402299611;0,205027257409024;"";"ATT";"TOTPROF_100kPROF_COL";"base_ic";"PRIV"
"268";0,244864469106389;0,467815784640215;0,523420707778613;0,601027574098626;"";"ATT";"TOTPROF_100kPROF_COL";"base_ic";"PUBL"
"269";0,174929962078256;0,171945602600039;1,01735641640781;0,31055912475789;"";"ATT";"TOTPROF_100kPROF_COL";"base_ent";"PRIV"
"270";-0,264546889924791;0,184386950112283;-1,43473759809843;0,152306027085587;"";"ATT";"TOTPROF_100kPROF_COL";"base_ent";"PUBL"
"271";0,293226804498732;0,280417450114552;1,04567959083483;0,29622665868432;"";"ATT";"TOTPRE_100kPROF_COL";"base_ai";"FALSE"
"272";0,80952728695863;0,332742506763389;2,43289411633326;0,0153354477819699;"*";"ATT";"TOTPRE_100kPROF_COL";"base_10p";"FALSE"
"273";0,274920562644703;0,203180888582596;1,35308278530805;0,176650582056326;"";"ATT";"TOTPRE_100kPROF_COL";"base_50p";"FALSE"
"274";0,288743318647581;0,28302357971212;1,02020940778602;0,308130544972088;"";"ATT";"TOTPRE_100kPROF_COL";"base_ic";"FALSE"
"275";-0,122624220680989;0,136128303890501;-0,90079885796289;0,368139603089342;"";"ATT";"TOTPRE_100kPROF_COL";"base_ent";"FALSE"
